Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
-0.6715000000000001,9.3161,-2.6749,-20.034238661832084,355.121,242.354,102.181
-0.64,9.3213,-2.6597000000000004,-19.489924099458435,356.525,241.927,102.717
-0.6054999999999999,9.3122,-2.647,-17.047748568736523,353.234,240.255,102.606
-0.5842,9.3252,-2.6394,-17.6434372049882,353.019,249.864,102.43
-0.5686,9.3438,-2.6447000000000003,-16.996198940637306,356.987,225.0,100.647
-0.5368999999999999,9.3565,-2.6623,-16.26320948580446,355.567,284.036,102.189
-0.514,9.3698,-2.673,-16.832031526163995,356.309,270.0,102.142
-0.4932,9.3735,-2.6809,-17.58722714761967,354.581,245.376,102.304
-0.46840000000000004,9.3664,-2.6816000000000004,-20.610607034607508,357.161,233.13,102.144
-0.44659999999999994,9.3765,-2.6927999999999996,-20.15331349117043,356.202,230.906,103.514
-0.4253,9.3866,-2.7029,-18.115638964831245,354.428,234.689,103.707
-0.40270000000000006,9.402899999999999,-2.7031,-17.918407585676455,354.193,249.444,102.236
-0.36979999999999996,9.4236,-2.7030000000000003,-19.962641951632648,353.042,270.0,102.016
-0.3406,9.4411,-2.6966,-22.367944392825827,355.865,291.25,103.696
-0.3177,9.4483,-2.6904000000000003,-21.038251048089887,355.865,270.0,102.709
-0.3177,9.4483,-2.6904000000000003,-21.29908550293841,355.865,270.0,102.709
-0.2952,9.4445,-2.6959,-22.2839873284478,0.479451,165.964,104.376
-0.2756,9.4413,-2.6959,-22.03800579923175,,,
-0.2756,9.4413,-2.6959,-22.101694158050623,356.309,226.848,102.144
-0.2298,9.443,-2.6961,-18.94380884368562,355.563,232.125,103.254
-0.2186,9.4626,-2.6999,-19.9321934417091,354.357,239.036,101.796
-0.2077,9.4704,-2.6963999999999997,-19.29547886406691,353.778,262.147,103.177
-0.19,9.4773,-2.694,-18.05025468423654,357.101,274.764,101.485
-0.1702,9.487400000000001,-2.69,-18.558137171245164,355.636,249.775,100.877
-0.1555,9.489600000000001,-2.6754000000000002,-20.36622925451749,352.875,247.249,104.036
-0.1324,9.4707,-2.6543,-19.83930187005944,355.515,243.435,103.187
-0.1065,9.473700000000001,-2.6501,-18.870206612176382,355.511,239.931,101.581
-0.1065,9.473700000000001,-2.6501,-18.971606654646333,354.706,245.376,101.581
-0.0909,9.4803,-2.6472,-17.983882934640118,354.267,263.157,101.397
-0.07339999999999999,9.4777,-2.6356,-17.365128215363228,355.145,277.765,102.319
-0.046900000000000004,9.4747,-2.6296,-16.811199397257298,354.68,267.51,100.53
-0.0232,9.473700000000001,-2.6268000000000002,-17.62642179590695,354.826,257.735,102.929
-0.014199999999999999,9.4751,-2.6182,-19.67268528425527,352.983,282.339,103.291
-0.014199999999999999,9.4751,-2.6182,-19.851321627012467,354.267,248.963,103.291
0.0079,9.4742,-2.6108,-20.395120718051203,353.532,261.87,102.926
0.024300000000000002,9.4729,-2.6247000000000003,-19.36303065626104,355.722,244.654,103.149
0.0453,9.4801,-2.6337,-18.710520849903617,353.175,259.046,102.961
0.0453,9.4801,-2.6337,-18.47578981835899,353.175,259.046,102.961
0.057300000000000004,9.4864,-2.6381,-17.64407551243447,356.496,281.31,102.365
0.0849,9.502699999999999,-2.6426999999999996,-18.047897564038387,356.171,292.38,101.603
0.1039,9.5082,-2.6444,-18.816237021093364,355.31,275.44,103.291
0.1183,9.5131,-2.6393,-21.5836925243028,355.236,259.695,101.806
0.1429,9.5146,-2.6374,-21.421539996044537,355.882,270.0,103.923
0.1605,9.5186,-2.6363,-19.36648651976086,355.96,276.009,102.724
0.1837,9.5292,-2.6355,-18.821477207820266,354.444,274.574,103.092
0.2143,9.5343,-2.6338999999999997,-18.38296389475338,358.152,284.036,99.4272
0.2439,9.5409,-2.6382,-18.54819613129992,355.541,266.634,101.555
0.2439,9.5409,-2.6382,-18.332860669634144,355.541,266.634,101.555
0.2687,9.545499999999999,-2.6464,-18.882770488655105,349.216,257.005,102.412
0.2687,9.545499999999999,-2.6464,-18.878097776525976,349.216,257.005,102.412
0.2821,9.5441,-2.642,-19.394199453777873,357.797,251.565,102.002
0.33659999999999995,9.5617,-2.6573,-19.983643098120037,357.938,221.987,101.438
0.36200000000000004,9.5799,-2.6593,-19.33881427116145,353.758,248.552,101.009
0.3829,9.6007,-2.6612999999999998,-19.119986810218503,356.782,261.87,100.974
0.4017,9.6215,-2.6592000000000002,-19.060665032196628,356.782,270.0,101.352
0.4265,9.6318,-2.6521,-19.30636748418187,357.306,284.036,100.095
0.44659999999999994,9.6268,-2.6430000000000002,-20.49772540104113,350.301,262.725,100.743
0.4754,9.625599999999999,-2.6483999999999996,-22.592569575674236,357.614,231.34,100.491
0.4754,9.625599999999999,-2.6483999999999996,-22.675307066516957,357.614,231.34,100.491
0.502,9.629199999999999,-2.6589,-22.06122676035386,356.987,222.879,101.575
0.5094,9.6314,-2.6578,-20.134295590086143,356.741,240.642,100.285
0.5229,9.649,-2.6517,-19.097714980266396,355.693,248.75,98.8741
0.5229,9.649,-2.6517,-19.088947985385055,355.693,248.75,100.191
0.5378000000000001,9.6637,-2.6458,-19.746503831811502,356.737,257.005,99.602
0.5378000000000001,9.6637,-2.6458,-19.760871872770608,358.099,262.875,99.602
0.5498,9.6663,-2.6482,-20.126107209893416,356.976,257.905,98.9275
0.5534,9.6581,-2.654,-21.666130023076423,354.906,253.073,100.305
0.5593,9.6489,-2.6552999999999995,-22.566945036289248,356.793,248.963,100.903
0.5682,9.6492,-2.6612999999999998,-21.56753506076621,355.764,233.13,99.8756
0.5825,9.6508,-2.6654,-20.99828662884105,355.073,229.635,100.443
0.6036,9.6511,-2.657,-19.764249958387136,356.999,248.963,99.1762
0.6036,9.6511,-2.657,-19.769425816833653,356.999,248.963,99.0902
0.6088,9.6493,-2.6517,-19.907365452864997,359.472,296.565,99.8747
0.6088,9.6493,-2.6517,-19.968703344038538,359.472,296.565,100.095
0.6204,9.655,-2.647,-19.826123110279696,356.248,249.444,98.3151
0.6346,9.6548,-2.6365,-21.732184947060667,355.365,240.255,99.5366
0.6444,9.6417,-2.6296,-23.40165603875814,355.382,244.537,99.0085
0.6548999999999999,9.6378,-2.6299,-24.912640442845625,356.088,240.642,101.586
0.6623,9.6417,-2.6342000000000003,-21.941821949441866,356.438,218.66,99.1623
0.6687000000000001,9.6462,-2.633,-21.188931867432213,357.946,228.367,99.5716
0.6790999999999999,9.66,-2.6338999999999997,-20.467355016006476,358.733,308.66,98.5959
0.6866,9.6652,-2.6403,-20.356638942266,358.486,206.565,98.2525
0.6866,9.6652,-2.6403,-20.338842303951843,358.486,206.565,98.2525
0.7021,9.653500000000001,-2.6374,-20.833607733300298,355.583,228.18,98.6661
0.7206999999999999,9.6476,-2.6362,-23.75987709103824,353.063,262.875,100.859
0.7206999999999999,9.6476,-2.6362,-23.912569295940543,353.063,262.875,100.859
0.7309,9.6547,-2.6354,-25.426264042649592,0.0,180.0,98.5879
0.7591,9.6576,-2.6372000000000004,-21.746857256092305,357.064,225.0,99.099
0.7651,9.6594,-2.6357999999999997,-21.803701104928482,357.754,239.036,99.2461
0.7713,9.6706,-2.6275,-20.532846517710233,355.635,250.71,99.4264
0.7753,9.674,-2.6283999999999996,-20.6304581929114,356.07,260.538,99.602
0.7896,9.6775,-2.6257,-21.673612547387382,355.622,246.371,99.4984
0.8023,9.675,-2.6348000000000003,-23.48411799139974,356.424,242.103,100.606
0.8023,9.675,-2.6348000000000003,-23.375857078528707,356.424,242.103,100.606
0.8166,9.6763,-2.64,-24.46422385607843,356.332,236.31,101.575
0.8412999999999999,9.681799999999999,-2.6493,-21.919270386200967,356.082,228.013,100.187
0.8412999999999999,9.681799999999999,-2.6493,-21.872706364182505,351.72,245.225,100.187
