"Each row has the same USRP gain, is a vector of measured power
 First row is the gen power range"
5.3,-32.001192030493044,-30.90641892110658,-29.953592480845014,-28.874946534876113,-27.835671111337643,-26.695506715718096,-25.71822142463273,-24.588125239660002,-23.615342499141594,-22.51613640385749,-21.543542711779782,-20.477684095645106,-19.47656409994429,-18.404689011031778,-17.41362058165716,-16.332417311285994,-15.353878730776163,-13.77256545059131,-13.125135081927837,-12.058415853568777
5.8,-32.01730606855851,-30.921683701515725,-29.969259009673692,-28.894393265651907,-27.847616999813717,-26.71450639129007,-25.738182493243283,-24.602096887568916,-23.62184548596573,-22.525640930873166,-21.55587980519963,-20.4895178845965,-19.496061825534035,-18.414946748321135,-17.424559252717163,-16.3444904351107,-15.36332765932516,-13.71533923536916,-13.138728554866068,-12.068462038963926
6.3,-31.055568592367752,-29.964016721971195,-29.00948795442499,-27.936302909350093,-26.891957470343918,-25.756231978086475,-24.78581441038146,-23.643032194216126,-22.666110344352994,-21.572229034524618,-20.599917239370097,-19.52666876364001,-18.53268034393648,-17.456614644085512,-16.467984327353744,-15.310118732528483,-14.40996976948306,-13.165926153710004,-12.105594398188789,-11.407645031696779
6.8,-30.99869400543085,-29.91089781307727,-28.948127678514915,-27.879115975638264,-26.831780195393197,-25.690709463276583,-24.71886672531511,-23.579401421854588,-22.604925376511815,-21.511856972033648,-20.534924736429748,-19.465853295153707,-18.473165142239072,-17.396379946377152,-16.41017687366298,-15.325176316702386,-14.343998913514216,-13.09992750050771,-12.119946377999756,-11.395578445971571
7.4,-29.988396830628425,-28.891827663223143,-27.936398277031365,-26.861583989133862,-25.80995743589956,-24.678243776477178,-23.7008029236545,-22.55315592055018,-21.59027477002274,-20.4912784806322,-19.521648794109495,-18.45012206581404,-17.459680413601028,-16.383102870714076,-15.393353176403796,-14.311379985190735,-13.33064987382526,-12.087885505761466,-10.704036287221466,-10.031765816145626
7.9,-29.99565479336194,-28.890819674356504,-27.947831888821224,-26.874090824080234,-25.8262528768954,-24.691516565655768,-23.714633659022148,-22.571026525394423,-21.61047144794275,-20.508449871916408,-19.537564063250695,-18.4656354097791,-17.47450374041416,-16.396095927909183,-15.403877349103908,-14.321783998838765,-13.347695929090444,-12.099218047443276,-10.667585599590172,-10.047906833990341
8.4,-29.020277741638857,-27.91860493673699,-26.971524800245607,-25.890977100127664,-24.848570489260876,-23.714340672981084,-22.737953858145318,-21.592883738316992,-20.62565092785594,-19.53140893771366,-18.561536098942938,-17.490918480213015,-16.49366324102936,-15.415025035970658,-14.424989788104332,-13.34431305827357,-12.363019051216847,-10.61575497203184,-10.132338965941042,-9.062897210029707
8.9,-29.033634034830953,-27.940123293888384,-26.978079212229545,-25.90273133840471,-24.862556123306288,-23.724114443611196,-22.751255424330523,-21.609303771081038,-20.63982198945384,-19.542980456239466,-18.571649787483402,-17.503101344984366,-16.504798117205787,-15.424215247959594,-14.4396276571098,-13.359545588443822,-12.378072102873666,-10.59478087696461,-10.14414088330095,-9.072725819279528
9.5,-28.083332062806573,-26.985524371703576,-25.57904730423307,-24.947622562869242,-23.904234396640756,-22.76821554501012,-21.79214005588704,-20.649341940486636,-19.685395190499836,-18.583247878324816,-17.61387782389786,-16.539786457069013,-15.547322284061257,-14.472230490931679,-13.478707223727117,-12.38542899085775,-11.414255603962197,-10.171675490991149,-9.186708482461317,-7.601173601083351
10.0,-27.05620012143346,-25.962848425586134,-25.008188548459202,-23.9312833105602,-22.890583736238973,-21.754781500293923,-20.775932285043076,-19.63458772122117,-18.670508055835874,-17.57103650250825,-16.597539872311238,-15.524989573726419,-14.533043457794495,-13.453786858267307,-12.465453277158161,-11.374061567185365,-10.404427081670503,-9.155645389876039,-8.17239277835605,-7.103639500857855
