Dist_N,Dist_E,Dist_D,PowerRx,XZ,YZ,MAG
1.7534999999999998,-10.280899999999999,46.7983,-59.96754821195489,357.7,253.301,223.68
1.714,-10.3419,47.004,-59.9315582689364,357.241,251.565,223.68
1.7122,-10.3794,47.1154,-60.13696178609362,356.999,257.005,223.155
1.7158000000000002,-10.3881,47.0428,-60.10143580309592,357.481,254.745,222.898
1.7706,-10.2596,46.78060000000001,-60.20293234033102,357.252,255.964,223.155
1.7849000000000002,-10.2315,46.7017,-60.15255216858761,357.481,250.017,223.333
1.7905000000000002,-10.2547,46.681999999999995,-60.12952801862758,357.7,253.301,223.121
1.8939,-10.0879,46.3094,-60.1258359133955,357.46,241.39,223.073
1.9028,-10.044500000000001,46.2712,-59.86207731642304,357.47,250.017,222.856
1.9194,-10.1001,46.333999999999996,-60.09525375282799,356.769,261.87,223.461
1.8929,-10.059,46.258900000000004,-60.11854324030219,357.46,254.745,223.291
1.8278999999999999,-10.0948,46.2922,-60.04908608645623,357.252,260.538,223.286
1.6765999999999999,-10.1127,46.4104,-60.02306640111114,357.47,254.745,223.07
1.6484999999999999,-10.1275,46.4491,-60.085412840611255,357.7,253.301,223.246
1.6579,-10.116,46.3555,-59.85652240295505,357.23,255.964,223.246
1.6463999999999999,-10.0539,46.1614,-59.8466067224082,357.45,254.745,223.378
1.6062,-9.9425,45.9,-60.23838280504346,357.45,254.745,223.376
1.5104,-9.9223,45.8212,-59.84554879651434,357.47,241.39,223.328
1.4709999999999999,-9.867,45.6616,-59.89855472769971,357.7,253.301,223.554
1.4454,-9.8516,45.6225,-60.1353821358608,357.219,251.565,223.471
1.4225999999999999,-9.8397,45.588,-60.12653735617194,357.728,253.301,222.526
1.3455000000000001,-9.8153,45.467299999999994,-59.96370753345839,356.987,252.897,223.107
1.3502,-9.7339,45.344899999999996,-60.06475482594149,357.481,250.017,223.251
1.3224,-9.6875,45.150600000000004,-60.16982147961527,357.274,260.538,223.381
1.2827000000000002,-9.7243,45.1284,-60.07109433263537,357.7,253.301,223.195
1.324,-9.8103,45.2263,-60.015388840967965,356.782,257.905,223.388
1.2375,-9.7834,45.1258,-60.00689395631121,356.553,262.405,223.296
1.0808,-9.8162,45.0871,-59.907342737079176,356.553,262.405,223.119
1.0293,-9.7754,45.0911,-60.00766547609529,357.23,243.435,223.107
1.0834000000000001,-9.7781,45.1284,-59.83959621769431,357.47,259.695,223.374
1.1411,-9.7562,45.0418,-59.953055615623995,357.219,260.538,223.374
1.1391,-9.6966,44.914300000000004,-60.280557328773426,357.46,254.745,223.723
1.1026,-9.638,44.842,-60.0574535355668,357.241,251.565,223.037
1.0624,-9.626100000000001,44.8367,-60.026483046043275,357.481,259.695,223.588
1.0611,-9.6662,44.89939999999999,-59.96117170068585,357.47,250.017,223.431
1.0518,-9.7364,45.1269,-60.07685037109266,357.691,243.435,223.366
0.9776,-9.7334,45.212399999999995,-60.111151036781024,357.481,254.745,223.288
0.884,-9.7388,45.215,-60.1252972009381,357.922,240.945,223.424
0.8641,-9.7908,45.3339,-59.81513014805054,357.491,254.745,223.336
0.8656999999999999,-9.789,45.3479,-60.05168347136453,357.672,248.199,223.419
0.9431999999999999,-9.7607,45.443400000000004,-59.976143176363664,357.47,259.695,223.811
0.9854,-9.6816,45.32149999999999,-60.086520774529774,357.922,246.038,223.203
1.0759999999999998,-9.5224,45.0719,-60.01855151714474,356.769,254.055,223.428
1.1489,-9.4359,44.907,-59.87696964382017,357.922,246.038,223.605
1.1875,-9.4063,44.85850000000001,-60.29489723924261,357.46,259.695,223.15
1.2624,-9.3866,44.975699999999996,-59.876738976385425,356.999,248.963,223.251
1.4019,-9.3253,44.8216,-59.95728806955033,357.47,254.745,223.195
1.5274,-9.2669,44.6999,-60.28377162031474,357.47,254.745,222.95
1.6168,-9.1498,44.491099999999996,-59.935175732128094,356.729,257.905,224.162
1.6418000000000001,-9.097100000000001,44.29729999999999,-60.11913186196572,356.987,265.601,223.155
1.7025,-9.0566,44.3417,-59.83117204628047,358.137,249.444,222.902
1.7549000000000001,-9.094299999999999,44.4158,-59.91112419517868,357.47,259.695,223.639
1.7638,-9.0549,44.353500000000004,-60.15359552346054,357.241,251.565,223.158
1.7431,-9.031699999999999,44.375299999999996,-59.954071663554664,357.45,254.745,223.381
1.7024000000000001,-8.9997,44.4158,-60.115601011164976,357.7,248.199,223.426
1.5369,-9.0426,44.5663,-60.295742803237346,357.719,248.199,223.113
1.5656,-9.0429,44.565,-59.88356940006247,357.46,241.39,223.155
