disN,disE,disD
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
-1.8744,1.3954,-0.9508
