XZ,YZ,MAG,PowerRx
90.269,87.312,165.167,-42.05704763283791
90.269,87.312,165.223,-42.05690047958217
90.269,87.312,165.223,-42.07138088722962
90.269,87.312,165.223,-42.041477701095204
90.269,87.312,165.223,-41.960815613015036
90.269,87.312,165.223,-41.97610537497159
90.269,88.1177,164.592,-41.9335094775008
90.269,88.1177,164.707,-42.01968158765514
90.269,88.1177,164.707,-41.916627944712005
90.269,88.1177,164.707,-41.833386572327036
90.269,88.1177,164.707,-41.870082349149065
90.269,88.1177,164.707,-41.86863537049021
90.269,88.1177,164.784,-41.87898804770537
90.269,88.1177,164.784,-41.953881758751834
90.269,88.1177,164.784,-41.82609488310891
90.2652,88.1438,164.784,-41.900129282180636
90.2652,88.1438,164.784,-41.84007352349787
90.2652,88.1438,164.802,-41.87266496419948
90.2652,88.1438,164.802,-41.942908369928425
90.2652,88.1438,164.802,-41.91510275941761
90.2652,88.1438,164.802,-41.93507382817937
90.2652,88.1438,164.802,-41.99428878725293
90.269,88.1177,164.802,-41.96833413136186
90.269,87.5805,164.667,-41.91832506653283
90.269,87.5805,164.667,-41.93913408737081
90.269,87.5805,164.667,-41.873241012635575
90.269,87.5805,164.667,-41.86656688258158
90.269,87.5805,164.667,-41.7151262999418
90.269,87.5805,165.268,-41.868410955820025
90.269,87.5805,165.268,-41.88345476319972
90.269,87.5805,165.268,-41.865150507891386
90.269,87.312,165.268,-41.895025423712084
90.269,87.312,165.268,-41.891046467566724
90.269,87.312,165.268,-41.843686866621724
90.269,87.312,165.167,-41.876118446813535
90.269,87.312,165.167,-41.85952174648904
90.269,87.312,165.167,-41.925191570520994
90.269,87.312,165.167,-42.01056015390074
90.269,87.312,165.167,-42.01056015390074
90.0,87.5805,165.591,-41.98734314779656
90.0,87.5805,165.481,-41.94496502503415
90.0,87.5805,165.481,-41.947007503179705
90.0,87.5805,165.481,-41.99088876181946
90.0,87.5805,165.481,-42.06877406636635
90.0,87.5805,165.481,-42.02622601125078
90.0,87.5805,165.481,-41.940739061223304
90.0,87.5805,165.481,-41.93504607562298
90.0,87.5805,165.481,-41.92991613350899
90.2702,88.1088,165.481,-41.88233110378845
90.2702,88.1088,165.481,-41.90480337159599
90.2702,88.1088,165.481,-41.86002270823644
90.2702,88.1088,164.629,-41.91136819489594
90.2702,88.1088,164.629,-41.93273922488875
90.2702,88.1088,164.629,-41.81051333530837
90.2702,88.1088,164.629,-41.8512056822993
90.2702,88.1088,164.629,-41.911095561258584
90.269,87.5805,164.145,-41.880281661696436
90.269,87.5805,164.145,-41.87052710947369
90.269,87.5805,164.145,-41.92392142049933
90.269,87.5805,164.145,-42.01537981417424
90.269,87.5805,164.145,-41.94870756994317
90.269,87.5805,164.145,-41.97286729974277
90.269,87.5805,164.57,-42.01535656952335
90.269,87.5805,164.57,-42.068561645225444
90.269,87.5805,164.57,-42.03590368474507
90.2702,87.8389,164.57,-42.018227911096
90.2702,87.8389,164.57,-42.04857794991956
90.2702,87.8389,164.57,-42.13434957035975
90.2702,87.8389,164.915,-41.93419385012593
90.2702,87.8389,164.915,-42.005699136818905
90.2702,87.8389,164.915,-41.882571471772465
90.2702,87.8389,164.915,-41.83263266788856
90.2702,87.8389,164.915,-41.914956961579364
90.5354,88.1265,165.646,-41.96488946468604
90.5354,88.1265,165.646,-41.81480936027418
90.5354,88.1265,165.646,-41.868688818724976
90.5354,88.1265,165.646,-41.85253007577466
90.5354,88.1265,165.646,-41.831296864621024
90.5354,88.1265,165.069,-41.92176034307955
90.5354,88.1265,165.069,-41.881740141482105
90.5354,88.1265,165.069,-41.899639577490206
90.269,87.849,165.069,-41.907502628809056
90.269,87.849,165.069,-41.90570559207147
90.269,87.849,164.956,-42.002436110959806
90.269,87.849,164.956,-42.0626688764475
90.269,87.849,164.956,-42.203907143999324
