relPosN,relPosE,relPosD,accN,accE,accD,pos_type
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-74.082832104,4.639360835,2614930.8,2610256.2,102.5,71.5,absPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-99.02,-221.96,7.35,58.9,83.9,71.5,relPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
-74.082832115,4.639360826,2614944.7,2610270.1,102.5,71.4,absPos
